id,title,url,summary,date_published,source_name,category,state_codes,current_sector,importance_score,correct_sector_tier1,correct_sector_tier2,notes
108,"In face-recognition first, Delhi Police personnel to wear AI smart glasses in R-Day crime fight",https://indianexpress.com/article/cities/delhi/delhi-police-personnel-ai-smart-glasses-republic-day-parade-10487992/,Delhi Police personnel will wear AI smart glasses equipped with face-recognition technology to enhance security during the Republic Day celebrations. This initiative marks a first in the use of AI-powered smart glasses for face recognition in law enforcement. The smart glasses aim to help police identify and prevent potential crimes.,2026-01-22,Indian Express - Delhi,Policies and Initiatives,"[""DL""]",,0.0,,,
5,Why Elon Musk's Grok is in trouble in India while ChatGPT and Gemini are not—for now,https://www.livemint.com/ai/artificial-intelligence/elon-musk-grok-ai-sexual-content-scrutiny-india-11767620008015.html,,2026-01-06,LiveMint AI News,AI Policy & Regulation,"[""IN""]",,30.0,,,
30,Digital India Ask Our Experts | Episode 41 | India AI Impact Summit 2026,https://www.digitalindia.gov.in/events/digital-india-ask-our-experts-episode-41-india-ai-impact-summit-2026/,"The India AI Impact Summit 2026 is hosting an episode of ""Digital India Ask Our Experts"". This episode, numbered 41, aims to discuss AI's impact in India. The summit brings together experts to share knowledge and insights on AI's role in India's digital transformation.",2026-01-20,Digital India - Events,Events,"[""IN""]",,0.0,,,
99,"Sarvam AI signs MoU with TN Govt to set up  sovereign AI park with ₹10,000 cr investment",https://www.techcircle.in/2026/01/13/-sarvam-ai-signs-mou-with-tn-govt-to-set-up-sovereign-ai-park-with-10-000-cr-investment,"Sarvam AI has signed a Memorandum of Understanding (MoU) with the Tamil Nadu government to establish a sovereign AI park. The project is expected to attract an investment of ₹10,000 crore. This initiative aims to promote the development of artificial intelligence in the region.",2026-01-01,TechCircle - Policy,Policies and Initiatives,"[""TN""]",,0.0,,,
129,OpenAI CEO Sam Altman likely to visit India in Feb: ChatGPT maker expected at India AI Impact Summit 2026 - What we know so far,https://www.etnownews.com/technology/openai-ceo-sam-altman-likely-to-visit-india-in-feb-chatgpt-maker-expected-at-india-ai-impact-summit-2026-what-we-know-so-far-article-153497742,"OpenAI CEO Sam Altman is expected to visit India in mid-February for the India AI Impact Summit. The summit is scheduled to take place from February 16-20, 2026, at Bharat Mandapam in New Delhi. Altman's visit is anticipated to be a key part of the event, which will focus on the impact of AI in various sectors.",2026-01-24,ET Now Technology,Events,"[""DL""]",,0.0,,,
32,AI Impact Summit Working Group Meeting in Bengaluru,https://www.digitalindia.gov.in/events/ai-impact-summit-working-group-meeting-in-bengaluru/,"An AI Impact Summit Working Group meeting took place in Bengaluru, bringing together key stakeholders to discuss AI's impact. The meeting aimed to explore the potential effects of AI on various sectors and industries. Details of the discussions and outcomes from the meeting are not specified.",2026-01-20,Digital India - Events,Events,"[""KA""]",,0.0,,,
39,Telangana govt signs pact with Deakin University to establish AI CoE,https://b2b.economictimes.indiatimes.com/news/telangana/telangana-partners-with-deakin-university-to-launch-pioneering-ai-centre-of-excellence/125832531,The Telangana government has signed a pact with Deakin University to establish an Artificial Intelligence Centre of Excellence (AI CoE). This partnership aims to enhance research and advanced skill development in key sectors. The new CoE is expected to contribute to Telangana's emergence as a gateway for Digital India.,2025-12-08,ET B2B Telangana,Policies and Initiatives,"[""TG""]",,0.0,,,
48,"Blackstone Confirms Milestone-Linked Investment in Neysa, Values Startup at $300 million: Reports",https://analyticsindiamag.com/ai-news-updates/blackstone-confirms-milestone-linked-investment-in-neysa-values-startup-at-300-million-reports/,"Blackstone is investing $50-75 million in Neysa for a significant minority stake, with the deal valuing the startup at $300 million. The investment is reportedly linked to specific milestones, although details of these milestones are not provided. This initial tranche is part of a larger investment, with the exact terms and conditions not disclosed.",2026-01-19,Analytics India Magazine - AI News,Major AI Developments,"[""IN""]",,0.0,,,
60,A Timely Pivot: How GenAI Allowed SpeakX To Find A New Edtech Mission,https://inc42.com/startups/a-timely-pivot-how-genai-allowed-speakx-to-find-a-new-edtech-mission/,"SpeakX, an edtech company, has found a new mission thanks to the capabilities of GenAI. The company is leveraging AI to improve English language skills in India, where English proficiency is highly valued. GenAI has enabled SpeakX to pivot and expand its offerings in the edtech space.",2026-01-13,Inc42 Startups,Policies and Initiatives,"[""IN""]",,0.0,,,
124,Ex-Google Executive Peeyush Ranjan Launches AI EdTech Startup Fermi.ai in India & USA,https://analyticsindiamag.com/ai-news-updates/ex-google-executive-peeyush-ranjan-launches-ai-edtech-startup-fermi-ai-in-india-usa/,"Former Google executive Peeyush Ranjan has launched Fermi.ai, an AI-first edtech startup focused on transforming high-school STEM education in India and the US. The company, headquartered in Singapore, will roll out its learning platform in both countries, initially covering mathematics, physics, and chemistry. Fermi.ai aims to revolutionize education through its AI-powered platform.",2026-01-23,Analytics India Magazine - AI News,AI Start-Up News,"[""IN""]",,0.0,,,
83,Indian start-ups unveil breakthrough AI tools for mass health screening,https://www.thehindu.com/news/national/telangana/indian-start-ups-unveil-breakthrough-ai-tools-for-mass-health-screening/article70529390.ece,"Indian start-ups have developed innovative AI tools for mass health screening, marking a significant breakthrough in the field. These AI-powered tools aim to enhance the efficiency and accessibility of health screenings, potentially benefiting a large population. The introduction of these tools is expected to revolutionize the healthcare sector in India and beyond.",2026-01-20,The Hindu - Hyderabad,Major AI Developments,"[""TG""]",,0.0,,,
72,Raana Semiconductors Raises $3 Mn Seed Funding for Silicon Ingot Systems,https://analyticsindiamag.com/ai-news-updates/raana-semiconductors-raises-3-mn-seed-funding-for-silicon-ingot-systems/,Raana Semiconductors has raised $3 million in seed funding to develop silicon ingot systems. The company aims to reduce reliance on imported silicon ingots and wafers by enabling local manufacturing. This investment will support Raana Semiconductors' efforts to establish a domestic silicon production capability.,2026-01-20,Analytics India Magazine - AI News,Major AI Developments,"[""MH""]",,0.0,,,
115,"Tech an enabler, future success will rely on strong base of trust: Nasscom VP on AI governance",https://cio.economictimes.indiatimes.com/news/artificial-intelligence/nasscom-vp-highlights-trust-as-key-to-ai-governance-success-in-india/127122718,"Nasscom VP Aggarwal views technology as a great enabler, believing AI can be used to minimize and prevent harms generated by its use. There is a growing emphasis on setting ""technology-led guardrails"" to mitigate potential issues. This approach prioritizes proactive measures over reactive regulations in AI governance.",2026-01-22,ET CIO - AI,Policies and Initiatives,"[""IN""]",,0.0,,,
19,AI Startups To Watch: 5 Indian AI Startups That Caught Our Eye In January,https://inc42.com/startups/ai-startups-to-watch-5-indian-ai-startups-that-caught-our-eye-in-january/,,2026-01-15,Inc42 Startups,AI Start-Up News,"[""IN""]",,20.0,,,
92,Rajasthan rolls out AI-enabled ‘My Career Advisor’ app for students,https://government.economictimes.indiatimes.com/news/technology/rajasthan-rolls-out-ai-enabled-my-career-advisor-app-for-students/126351612,"Rajasthan has launched the 'My Career Advisor' app, an AI-enabled mobile platform providing personalized career guidance to students in Classes 9-12. The app aligns student choices with the National Education Policy 2020 through assessments based on aptitude, interest, and skills. The platform aims to offer tailored guidance to students, helping them make informed career decisions.",2026-01-05,ET Government - Technology,Major AI Developments,"[""RJ""]",,0.0,,,
41,Nagpur airport may get AI facial recognition to identify criminals,https://timesofindia.indiatimes.com/city/nagpur/nagpur-airport-may-get-ai-facial-recognition-to-identify-criminals/articleshow/126715211.cms,Nagpur airport is considering the implementation of AI facial recognition technology to identify and detect criminals. The technology aims to enhance security measures at the airport by using artificial intelligence to recognize and match faces with existing databases. This move is part of efforts to improve safety and security at the airport.,2026-01-20,Times of India - Thane,Policies and Initiatives,"[""MH""]",,0.0,,,
141,Hyderabad Police launch AI-driven system to overhaul CAR duty allocation,https://www.thehindu.com/news/cities/Hyderabad/hyderabad-police-launch-ai-driven-system-to-overhaul-car-duty-allocation/article70557894.ece,Hyderabad Police have introduced an AI-driven system to revamp the allocation of CAR (Crime and Accident Reporting) duties. The new system aims to optimize duty allocation using artificial intelligence. This initiative is expected to improve the efficiency and effectiveness of police operations in the city.,2026-01-28,The Hindu - Hyderabad,Policies and Initiatives,"[""TG""]",,0.0,,,
57,Why India organisations need federated data management,https://cio.economictimes.indiatimes.com/news/next-gen-technologies/unlocking-indias-digital-economy-the-power-of-federated-data-management/126366598,"India aims to achieve a trillion-dollar digital economy by 2030, driven by artificial intelligence and the Internet of Things. To support this goal, federated data management is crucial as it enables efficient data access and analysis, reducing costs and enhancing security. This approach is vital for India's digital future and supports AI development.",2026-01-06,ET CIO - Next Gen Tech,Policies and Initiatives,"[""IN""]",,0.0,,,
81,Digital clinic Pinky Promise raises $1 Mn led by Rebalance Angel Community,https://entrackr.com/snippets/digital-clinic-pinky-promise-raises-1-mn-led-by-rebalance-angel-community-11015492,"Pinky Promise, an AI-led digital clinic for women, has raised $1 million in a pre-seed funding round led by Rebalance Angel Community. The funding will be used to accelerate integrated offerings, support physical clinics, and expand nutritional supplements. The company, co-founded in 2020 by Divya Kamerkar and Akanksha Vyas, aims to enable continuity of care at a national scale.",2026-01-20,Entrackr - AI & Startups,AI Start-Up News,"[""MH""]",,0.0,,,
139,Saved by seconds: ISR working on AI-based quake early warning system for Gujarat,https://timesofindia.indiatimes.com/city/ahmedabad/saved-by-seconds-isr-working-on-ai-based-quake-early-warning-system-for-gujarat/articleshow/127495679.cms,"The Indian Space Research Organisation (ISR) is developing an AI-based earthquake early warning system for Gujarat. The system aims to provide critical seconds of warning to people in the event of an earthquake, potentially saving lives. The AI technology will help detect seismic activity and alert authorities and the public quickly.",2026-01-26,Times of India - Ahmedabad,Major AI Developments,"[""GJ""]",,0.0,,,
53,"BSNL, Viasat to Support Indian Navy Satellite Communications Upgrade",https://analyticsindiamag.com/ai-news-updates/bsnl-viasat-to-support-indian-navy-satellite-communications-upgrade/,Viasat is partnering with BSNL to support an upgrade of the Indian Navy's satellite communications. The installation of Viasat's equipment on Indian Navy platforms is set to begin this month. This collaboration aims to enhance the Indian Navy's satellite communications capabilities.,2026-01-16,Analytics India Magazine - AI Updates,Major AI Developments,"[""IN""]",,0.0,,,
21,"Global AI Summits, Big Promises, No Rules: Will India’s Be Any Different?",https://analyticsindiamag.com/ai-features/the-previous-global-ai-summits-have-delivered-failed-promises-of-self-regulation-by-big-tech-and-voluntary-agreements-lacking-teeth/,,2026-01-20,Analytics India Magazine - AI News,AI Policy & Regulation,"[""IN""]",,15.0,,,
23,Indian AI startups expand global footprints as enterprise demand surges,https://cio.economictimes.indiatimes.com/news/artificial-intelligence/indian-ai-startups-target-global-markets-amid-rising-demand/126672204,,2026-01-19,ET CIO - AI,AI Start-Up News,"[""IN""]",,20.0,,,
31,Regional AI Conference at Thiruvananthapuram,https://www.digitalindia.gov.in/events/regional-ai-conference-at-thiruvananthapuram/,"A regional AI conference is being held in Thiruvananthapuram, bringing together experts and enthusiasts to discuss artificial intelligence. The conference aims to promote knowledge sharing and collaboration in the field of AI. Details about the conference, including its schedule and speakers, are not specified.",2026-01-20,Digital India - Events,Events,"[""KL""]",,0.0,,,
133,"AI Impact Summit next month, PWD to beautify Delhi",https://indianexpress.com/article/cities/delhi/ai-impact-summit-next-month-pwd-to-beautify-delhi-10491695/,"The AI Impact Summit is scheduled to take place next month, although details about the event are scarce. Meanwhile, the Public Works Department (PWD) has announced plans to beautify Delhi. The connection between the AI summit and the PWD's beautification project is not specified in the available information.",2026-01-24,Indian Express - Delhi,Events,"[""DL""]",,0.0,,,
78,Wealthy is fuelling the next phase of growth for India’s mutual fund distributors through AI,https://yourstory.com/2026/01/wealthy-india-mutual-fund-platform-ai-financial-advisors-funding,"Wealthy, a technology platform, is driving growth for India's mutual fund distributors by leveraging AI. The platform facilitates client onboarding, portfolio management, and transactions across various investment products. It caters to independent financial advisors in India, streamlining their operations and enhancing their services.",2026-01-21,YourStory,AI Start-Up News,"[""IN""]",,0.0,,,
75,How this deeptech startup is driving seaweed cultivation along the western coast of India,https://yourstory.com/2026/01/how-this-deeptech-startup-is-driving-seaweed-cultivation-along-the-western-coast-of-india,"ClimaCrew, a Mumbai-based deeptech startup, is promoting seaweed cultivation along India's western coast by partnering with coastal communities and industries. The company uses an AI-driven platform to analyze satellite data and identify suitable locations for seaweed cultivation. This initiative aims to harness the nutritional potential of seaweed in Gujarat and Maharashtra.",2026-01-21,YourStory,AI Start-Up News,"[""GJ"", ""MH""]",,0.0,,,
65,Bengaluru Voice AI Startup Bolna Grabs $6.3 Mn to Enhance Vernacular Calls,https://analyticsindiamag.com/ai-news-updates/bengaluru-voice-ai-startup-bolna-grabs-6-3-mn-to-enhance-vernacular-calls/,"Bolna, a Bengaluru-based voice AI startup, has secured $6.3 million in funding to enhance its vernacular call capabilities. The company's platform enables businesses to run voice AI systems in multiple languages and scenarios. This investment will likely support Bolna's efforts to expand its voice AI offerings.",2026-01-21,Analytics India Magazine - AI News,AI Start-Up News,"[""KA""]",,0.0,,,
152,Antler is doubling its checks and speed amidst the flurry of AI companies in India,https://yourstory.com/2026/01/antler-doubling-checks-speed-amidst-flurry-ai-companies-india,"Antler is adjusting its strategy amidst the growing AI industry in India, focusing on quality founders and ideas by reducing cohort size. The firm plans to onboard new cohorts every quarter to keep pace with the evolving AI landscape. This shift comes after Antler announced its AI residency programme in July 2025.",2026-01-29,YourStory,AI Start-Up News,"[""IN""]",,0.0,,,
64,Al Qaeda scales up tech enabled operations as it eyes pan-India footprint,https://telanganatoday.com/al-qaeda-scales-up-tech-enabled-operations-as-it-eyes-pan-india-footprint,"Al Qaeda is leveraging AI and deepfake technology to expand its operations in India, aiming for a pan-India presence. The group is hosting servers across multiple countries to radicalize and recruit new members. Indian intelligence agencies face significant challenges in countering this low-profile, tech-enabled approach, which often exploits Osama Bin Laden's image.",2026-01-14,Telangana Today - Tech,Major AI Developments,"[""IN""]",,0.0,,,
84,ElevenLabs Appoints Karthik Rajaram as India Country Head,https://analyticsindiamag.com/ai-news-updates/elevenlabs-appoints-karthik-rajaram-as-india-country-head/,"ElevenLabs has appointed Karthik Rajaram as its India Country Head, tasked with leading the company's go-to-market strategy and driving revenue growth in the region. Rajaram's appointment aims to propel the company's expansion in India. He will oversee the development and implementation of strategies to increase revenue and market presence.",2026-01-20,Analytics India Magazine - AI News,Major AI Developments,"[""IN""]",,0.0,,,
50,AXISCADES Subsidiary Mistral Wins ₹100 Cr Defence Radar Subsystem Order,https://analyticsindiamag.com/ai-news-updates/axiscades-subsidiary-mistral-wins-%e2%82%b9100-cr-defence-radar-subsystem-order/,"AXISCADES' subsidiary Mistral has secured a ₹100 crore order for a defence radar subsystem. The company operates globally with a workforce of over 3,000 professionals across India, Europe, and North America. This order highlights Mistral's growing presence in the defence sector.",2026-01-19,Analytics India Magazine - AI News,Major AI Developments,"[""IN""]",,0.0,,,
131,What Indian VCs want; AI for the modern classroom,https://yourstory.com/2026/01/what-indian-vcs-want-ai-for-the-modern-classroom,"Indian VCs are seeking tailored incentives for deeptech startups and predictable tax frameworks. Fermi.ai has launched an AI-driven education platform in India and the US, aiming to modernize the classroom. The platform is part of a growing trend to integrate AI in education, enhancing the learning experience.",2026-01-24,YourStory,AI Start-Up News,"[""IN""]",,0.0,,,
63,How National Deep Tech Startup Policy can Help Start a New Era in Innovation,https://t-hub.co/how-national-deep-tech-startup-policy-can-help-start-a-new-era-in-innovation/,"India is home to over 3,000 deep-tech startups, focusing on innovations in areas like AI, big data, and blockchain, with potential to contribute $450-500 billion to the economy by 2025. These startups are transforming industries such as agriculture, life sciences, and aerospace with novel technology solutions. A national deep tech startup policy can help foster the growth of this emerging sector, driving innovation and economic growth.",2024-04-01,T-Hub News,Policies and Initiatives,"[""IN""]",,0.0,,,
87,"Telangana Unveils Life Sciences Policy 2026–30 at Davos, Targets $25 Bn Investments",https://analyticsindiamag.com/ai-news-updates/telangana-unveils-life-sciences-policy-2026-30-at-davos-targets-25-bn-investments/,"Telangana has unveiled its Life Sciences Policy 2026-30 at Davos, aiming to attract $25 billion in investments. The policy proposes the development of 10 Pharma Villages and the expansion of Genome Valley and the Medical Devices Park. This initiative is expected to boost the region's life sciences sector through strategic infrastructure development and investment.",2026-01-21,Analytics India Magazine - AI News,Major AI Developments,"[""TG""]",,0.0,,,
123,Why Mphasis CEO Believes AI Can No Longer Be ‘Lipstick’ on Legacy IT,https://analyticsindiamag.com/it-services/why-mphasis-ceo-believes-ai-can-no-longer-be-lipstick-on-legacy-it/,"Mphasis CEO Nitin Rakesh believes AI can no longer be used as a superficial solution, or ""lipstick,"" on legacy IT systems. Instead, he thinks enterprises must use AI to extract intelligence from their existing core systems. This approach requires a more integrated and meaningful application of AI in legacy IT.",2026-01-23,Analytics India Magazine - AI News,Major AI Developments,"[""KA""]",,0.0,,,
117,Karnataka Cabinet approves Centre for Applied AI for Tech Solutions,https://www.thehindu.com/news/cities/bangalore/karnataka-cabinet-approves-centre-for-applied-ai-for-tech-solutions/article70538568.ece,The Karnataka Cabinet has approved the establishment of a Centre for Applied AI for Tech Solutions. This move aims to leverage artificial intelligence for technological advancements and solutions. The centre is expected to drive innovation and development in the state.,2026-01-23,The Hindu - Bangalore,Policies and Initiatives,"[""KA""]",,0.0,,,
73,"AI, chip manufacturing to create new jobs by 2030: MeitY Secretary",https://cio.economictimes.indiatimes.com/news/artificial-intelligence/ai-and-semiconductor-manufacturing-4-million-jobs-by-2030-says-meity-secretary/126793977,"India's electronics sector is expected to experience a jobs boom by 2030, driven by artificial intelligence and new semiconductor manufacturing units. The industry is projected to hire nearly 4.5 million individuals, with a rise in application development jobs. India aims to become a top semiconductor manufacturing nation, with commercial production set to start soon.",2026-01-20,ET CIO - AI,Major AI Developments,"[""IN""]",,0.0,,,
71,"SanchiConnect Partners With Tamil Nadu & iTNT to Support Deep Tech Startups in Tier-2, 3 Cities",https://analyticsindiamag.com/ai-news-updates/sanchiconnect-partners-with-tamil-nadu-itnt-to-support-deep-tech-startups-in-tier-2-3-cities/,"SanchiConnect has partnered with Tamil Nadu and iTNT to support deep tech startups in Tier-2 and 3 cities. The initiative aims to build a sustainable ecosystem for innovation across key sectors, including climate technology and health tech. This partnership seeks to foster growth and development in these areas.",2026-01-20,Analytics India Magazine - AI News,Policies and Initiatives,"[""TN""]",,0.0,,,
150,"Before the first missiles fly: AI, cyber &amp; electronic warfare - how India is preparing for invisible battlefields",https://cio.economictimes.indiatimes.com/news/artificial-intelligence/before-the-first-missiles-fly-ai-cyber-electronic-warfare-how-india-is-preparing-for-invisible-battlefields/127707922,"India is integrating AI, cyber, and electronic warfare into its military, shifting towards a process-centric doctrine. This integration, as seen in Operation Sindoor, aims to enhance intelligence, surveillance, and reconnaissance capabilities. The goal is to achieve strategic dominance and reduce reliance on foreign technology in future conflicts.",2026-01-28,ET CIO - AI,Policies and Initiatives,"[""MH""]",,0.0,,,
82,"FireAI raises early-stage funding from IPV, VCats, and SucSEED Indovation",https://entrackr.com/snippets/fireai-raises-early-stage-funding-from-ipv-vcats-and-sucseed-indovation-11015328,"FireAI, an AI analytics platform, has raised Rs 6.2 crore ($800K) in pre-seed and seed funding from investors including Inflection Point Ventures, Venture Catalyst, and SucSEED Indovation Fund. The startup has also launched a mobile decision intelligence app, with plans to use the funding to enhance its capabilities and scale infrastructure. The investment will further support the company's expansion and acceleration of enterprise adoption.",2026-01-20,Entrackr - AI & Startups,Major AI Developments,"[""MH""]",,0.0,,,
6,Mint Explainer | Grok AI controversy: Why Elon Musk’s chatbot has alarmed India’s IT ministry,https://www.livemint.com/ai/artificial-intelligence/elon-musk-grok-ai-controversy-meity-x-ai-misuse-11767500101219.html,"The Indian Ministry of Electronics and Information Technology (MeitY) issued a 72-hour takedown order against X, citing concerns over Elon Musk's Grok AI chatbot. This action underscores the growing challenge for governments in containing online abuse facilitated by increasingly powerful AI tools. The incident highlights India's proactive approach to regulating AI content and its potential societal impact.",2026-01-04,LiveMint AI News,AI Policy & Regulation,"[""IN""]",,90.0,,,
